JSON,Response ID,D6_country,D6_continent,C3_tools,D4_languages,C4_tasks,C9_conditions,C11_documentation,U11_ownership
232,R_1D7zvdSx558GO7Y,United States,North America,Codeium,"JavaScript, Python",Writing source code,"Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
233,R_1j1XaSShizaRHqz,Luxembourg,Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C#, Golang, Java, JavaScript","Brainstorming / Inspiration, Code documentation, Code styling and formatting (to meet employer or community standards), Prototyping/mocking, Refactoring, Test case generation, Writing source code",Yes,,Belongs to no one (i.e. is in the public domain)
234,R_1CKsCAlQm0Vua9b,United States,North America,"Bard, ChatGPT-4","Python, R","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
235,R_3QmtEzxB1i8QE5q,Russia,Asia,"ChatGPT-3.5, GitHub Copilot, Replit AI","C / C++, JavaScript, Python","Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards)",I don't know,,Belongs to no one (i.e. is in the public domain)
236,R_6aRkgF9aLmQ7F1A,"Germany, France",Europe,,Python,,No,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
237,R_7H6sMJe5PtZSygV,United States,North America,"ChatGPT-4, GitHub Copilot","C / C++, C#, D, Python","Test case generation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,Belongs to no one (i.e. is in the public domain)
238,R_5TtR4EFaTver9uO,Switzerland,Europe,"ChatGPT-3.5, GitHub Copilot, JetBrains AI",Python,"Test case generation, Code documentation, Prototyping/mocking, Refactoring","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
239,R_3jy1Bohp3vok01J,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Golang, JavaScript","Test case generation, Writing source code, Creating user interfaces, Refactoring","No, Officially no but devs use anyway",,Belongs to the developer who prompted the model (or their employer)
240,R_6CvIOnMIyQPnocZ,United States,North America,"ChatGPT-3.5, ChatGPT-4, Tabnine","C / C++, Java, JavaScript, Python, Rust","Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards)","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
241,R_1dSrj85iYGfewX4,United States,North America,"GitHub Copilot, Tabby",Python,"Code documentation, Prototyping/mocking","Code must be manually reviewed, No guidelines yet",,Belongs to the developer who prompted the model (or their employer)
242,R_6nJB1EcWrOziq9u,Colombia,South America,"ChatGPT-4, Open-source Models",Python,"Writing source code, Prototyping/mocking, Refactoring",I don't know,,Don’t know/No opinion
243,R_2OixwHaKLweyMkf,France,Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Java, JavaScript, Python","Test case generation, Code documentation, Writing source code, Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
245,R_1uwxrlviTvd1EIK,United States,North America,"ChatGPT-3.5, ChatGPT-4, Claude (Anthropic) (any version), GitHub Copilot, JetBrains AI","C / C++, Java","Test case generation, Code documentation, Writing source code, Prototyping/mocking","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
246,R_6gFOY4QwNrXq2Zt,Brazil,South America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","JavaScript, Python, R","Test case generation, Code documentation, Writing source code",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI)"
248,R_2DSHR59KeY9Qo28,Spain,Europe,"ChatGPT-4, GitHub Copilot","C / C++, C#, JavaScript, Python, R, Rust","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
249,R_4XAynmRWjemRYsh,Japan,Asia,"ChatGPT-4, GitHub Copilot, Phind","C / C++, Golang, Python","Test case generation, Writing source code, Prototyping/mocking",Yes,,Belongs to the developer who prompted the model (or their employer)
250,R_6zwr5jkZMH8ouvr,United States,North America,"Bard, ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)","C / C++, C#, JavaScript, Objective-C, Python","Writing source code, Creating user interfaces, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
251,R_4hGHTroz8ivYQyB,New Zealand,Oceania,GitHub Copilot,"Dart, Java, JavaScript, Python, Rust","Test case generation, Writing source code, Prototyping/mocking, Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
252,R_5kW0ZLB8SkKzBlf,Nigeria,Africa,"ChatGPT-3.5, ChatGPT-4","Java, JavaScript, PHP",Meeting Summarization,Yes,,Belongs to no one (i.e. is in the public domain)
253,R_5aXZ1NRlhv4SvHH,United States,North America,,"C#, Golang, Python",,,,
254,R_2qfANgYclg8V34y,United Kingdom,Europe,"Bard, ChatGPT-4, GitHub Copilot","C / C++, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
255,R_411FUipMyLvjbhL,South Korea,Asia,"ChatGPT-3.5, GitHub Copilot, Phind","C#, Python","Writing source code, Creating user interfaces, Refactoring",Yes,,"Belongs to no one (i.e. is in the public domain), Don’t know/No opinion"
256,R_1RvzP5pLObBgpDX,United States,North America,"ChatGPT-4, GitHub Copilot","Python, Rust","Code documentation, Writing source code, Prototyping/mocking, Refactoring",I don't know,,Belongs to no one (i.e. is in the public domain)
257,R_4azqrJOvGwGxS1u,China,Asia,"Bard, ChatGPT-3.5, ChatGPT-4, Claude (Anthropic) (any version)","Bash, Golang, Python, R","Code documentation, Writing source code, Creating user interfaces",Yes,"Noting the usage of a code generation tool, Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool",Belongs to the creators whose works were used as training data for the output
258,R_18JyMokx1BBgEwN,China,Asia,GitHub Copilot,Java,"Writing source code, Creating user interfaces",Yes,,Belongs to the creators of the model (such as OpenAI)
260,R_1LLjcOfheZvqpX1,China,Asia,"ChatGPT-4, GitHub Copilot",Python,"Code documentation, Writing source code, Prototyping/mocking",Yes,,Belongs to no one (i.e. is in the public domain)
261,R_6BrF6KqOaJaSTv9,Canada,North America,"Amazon CodeWhisperer, Amazon Q, GitHub Copilot","JavaScript, PHP, Python","Code documentation, Writing source code",Yes,Keep System or Configuration Records,Belongs to no one (i.e. is in the public domain)
262,R_4hgAwTfS6nBtfmr,China,Asia,"Baidu Comate, ChatGPT-3.5, CodeGeex",Python,"Test case generation, Code documentation",Yes,,Belongs to the developer who prompted the model (or their employer)
264,R_4oNc1Ffygt813zz,South Korea,Asia,"Bard, ChatGPT-4, GitHub Copilot",Python,"Test case generation, Writing source code, Code styling and formatting (to meet employer or community standards)",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
265,R_478Uf2a1mQuzm8r,United Arab Emirates,Asia,"ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","C / C++, Java, Python","Writing source code, Prototyping/mocking",Yes,,Belongs to no one (i.e. is in the public domain)
266,R_1jwEeZu1rl67rhU,Denmark,Europe,"ChatGPT-3.5, ChatGPT-4, Cody","JavaScript, PHP","Test case generation, Refactoring",Yes,Noting the usage of a code generation tool,Belongs to no one (i.e. is in the public domain)
267,R_4qF6gmuMl2U0XrV,Singapore,Asia,"Bard, GitHub Copilot","JavaScript, PHP",Writing source code,Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
268,R_4alp4XSUKel71aV,Estonia,Europe,"ChatGPT-3.5, GitHub Copilot","Golang, PHP","Test case generation, Code documentation, Writing source code, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
269,R_7cpH9bEN5XnorZT,Germany,Europe,"ChatGPT-4, GitHub Copilot","Golang, Rust","Test case generation, Writing source code, Refactoring",Yes,Noting the usage of a code generation tool,Belongs to the developer who prompted the model (or their employer)
271,R_5d5He8y9Z9Zu0fl,Germany,Europe,GitHub Copilot,"Java, JavaScript, Python, SQL",Writing source code,Yes,,Depends on amount of prompt engineering
272,R_7HIlkro6yTCmI25,Ghana,Africa,"Bard, ChatGPT-4, GitHub Copilot","C / C++, C#, Java, JavaScript, PHP, Python, R","Test case generation, Code documentation, Prototyping/mocking, Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
273,R_2gIkMQ2s6gUUjJf,Azerbaijan,Asia,,"JavaScript, Python",,,,
274,R_3rMmAfFY5dImYdm,Poland,Europe,"ChatGPT-3.5, GitHub Copilot",C#,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
275,R_6fxOY4tphwNzMiF,Brazil,South America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot",Python,"Code documentation, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring","Can't expose sensitive data to AI, Partially or under certain conditions",,Don’t know/No opinion
276,R_51iTzRwvAe058cQ,Brazil,South America,,"Elixir, JavaScript, Rescript, Rust",,Yes,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
277,R_4kFwr3UusbTkZXm,France,Europe,"ChatGPT-3.5, GitHub Copilot","C / C++, Golang, JavaScript","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
278,R_1CCVdf8m9wFjXrd,United States,North America,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Mixtral","C / C++, Java, JavaScript, Python, R","Code documentation, Creating user interfaces, Data Generation, Prototyping/mocking, Refactoring, Test case generation","As long as use is documented, Depends on use or process, Partially or under certain conditions","Documentation of Risks, Documenting the entire interaction with a code generation tool","Belongs to no one (i.e. is in the public domain), Belongs to the creators of the model (such as OpenAI), Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
279,R_5fdztGxm7IHb3Gc,Canada,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Golang, JavaScript, Python, Rust","Code documentation, Refactoring, Static Analysis, Test case generation, Writing source code",Yes,,Belongs to the creators whose works were used as training data for the output
280,R_1uBGanNjaAwbKzD,Ireland,Europe,"ChatGPT-4, GitHub Copilot","C / C++, Java, Python","Creating user interfaces, Debugging, Writing source code","Cannot be used in publication, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
282,R_4sKGofWeSwbtFzr,Indonesia,Asia,,Golang,,"Depends on team, Partially or under certain conditions",,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
284,R_2DOK7phdUa1neE2,France,Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot",Python,"Code documentation, Writing source code, Prototyping/mocking",Yes,,"Belongs to the developer who prompted the model (or their employer), Don’t know/No opinion"
285,R_2qKFgVRzdFJNHDF,Slovakia,Europe,"ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)",JavaScript,"Test case generation, Writing source code, Prototyping/mocking, Refactoring",Yes,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
286,R_6m7Ww2onQsOQkCq,"United States, Brazil","North America, South America","ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C#, Java, JavaScript","Test case generation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
287,R_41amCjhMvaL6Kkl,Bangladesh,Asia,ChatGPT-4,"C / C++, Python","Writing source code, Refactoring",Yes,Noting the usage of a code generation tool,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
288,R_1HgZouqDNvVjW5o,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot",Golang,"Test case generation, Code documentation, Writing source code",Yes,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
289,R_4PSpl7rIm20xqwp,Egypt,Africa,"ChatGPT-3.5, GitHub Copilot","C / C++, JavaScript, Python","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",No,,Belongs to no one (i.e. is in the public domain)
290,R_6EyjDIoch96XKOm,United States,North America,GitHub Copilot,JavaScript,Writing source code,Yes,,Belongs to the developer who prompted the model (or their employer)
291,R_3QzMRHXftfAZP2X,United States,North America,"ChatGPT-3.5, ChatGPT-4","C / C++, JavaScript, PHP, Python","Test case generation, Writing source code, Prototyping/mocking",Yes,,Belongs to no one (i.e. is in the public domain)
292,R_2nkJU85VSlWzVkf,Germany,Europe,"ChatGPT-3.5, GitHub Copilot","Java, JavaScript, Python","Test case generation, Code documentation, Writing source code, Creating user interfaces","Only in-house or company approved AI, Partially or under certain conditions",,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
293,R_6WwLA8jSROAxIik,United Kingdom,Europe,"ChatGPT-4, Codeium",Python,"Test case generation, Code documentation, Writing source code",I don't know,,Belongs to the developer who prompted the model (or their employer)
294,R_1X7Klk29v8WZvqZ,Canada,North America,ChatGPT-3.5,"C#, JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
295,R_36PsRXcqP6Vhi0N,China,Asia,"ChatGPT-4, GitHub Copilot","C / C++, C#, JavaScript, Python","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to the creators whose works were used as training data for the output
296,R_6h2Wcup9DVvN9MR,United States,North America,"ChatGPT-4, GitHub Copilot",C#,"Test case generation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
297,R_5254TxGpUNSUHZg,Canada,North America,"ChatGPT-4, GitHub Copilot","Java, JavaScript, Python","Test case generation, Code documentation, Prototyping/mocking",No,,Don’t know/No opinion
298,R_7cBGxtywajfTkQx,Dominican Republic,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, v0","C / C++, C#, JavaScript","Writing source code, Creating user interfaces, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
299,R_4PZaOnb4XvvmOS1,Australia,Oceania,"ChatGPT-3.5, ChatGPT-4, Claude (Anthropic) (any version)","JavaScript, PHP, Python","Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards)",Yes,"Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool",Belongs to the developer who prompted the model (or their employer)
300,R_1HjCh7OeQSUUXIM,United States,North America,ChatGPT-3.5,"JavaScript, Ruby","Code documentation, Writing source code, Prototyping/mocking",Yes,,Belongs to the developer who prompted the model (or their employer)
302,R_3qDEMG1vp2IjSpB,United States,North America,"ChatGPT-4, GitHub Copilot","C#, JavaScript","Product / Architecture Design, Code documentation, Writing source code",Yes,,Belongs to the developer who prompted the model (or their employer)
303,R_31yEyVpxELtUvT3,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Ollama, dolphin-mixtral","JavaScript, Python, Shell","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces","Depends on client, Partially or under certain conditions",,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
304,R_5NTEEznBacjSNjz,"Ireland, Poland",Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, wizardlm","Golang, JavaScript, Kotlin","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,"Noting the usage of a code generation tool, Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool","Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
306,R_5fxxZ6yk4LLLrah,Brazil,South America,"ChatGPT-3.5, ChatGPT-4, Codium, GitHub Copilot",JavaScript,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,"Depends on the training set, Depends on usage"
307,R_3PoufotYSM2EfhP,United States,North America,"ChatGPT-4, GitHub Copilot",Python,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
308,R_5H5n7k6Kr6pI37E,United States,North America,"ChatGPT-4, GitHub Copilot","JavaScript, PHP, Python, Shell","Creating user interfaces, Prototyping/mocking, Refactoring, Small or Quick Scripts",Yes,,Belongs to no one (i.e. is in the public domain)
310,R_4w0k6aidVv451VY,China,Asia,"ChatGPT-4, GitHub Copilot","Java, Python","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,Documenting the prompt used to generate code,Belongs to the creators whose works were used as training data for the output
311,R_7KlrLEcGlaQPq4U,Canada,North America,"ChatGPT-4, GitHub Copilot","C / C++, C#, Python, Swift","Code Review, Creating user interfaces, Prototyping/mocking, Refactoring, Repository Management","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
312,R_13CPRATfdrRdTHl,United States,North America,"Bard, ChatGPT-4, GitHub Copilot","C / C++, Python","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",No,,Belongs to the developer who prompted the model (or their employer)
313,R_40S6eWCMv5WHB1u,Pakistan,Asia,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code",Yes,"Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool","Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
314,R_5uHZfi3jXCtJHGc,United States,North America,"ChatGPT-4, GitHub Copilot","JavaScript, Python","Test case generation, Code documentation, Writing source code, Refactoring",No,,Belongs to no one (i.e. is in the public domain)
315,R_3FxoYjhLekFANNh,"China, United States","North America, Asia","ChatGPT-4, GitHub Copilot","JavaScript, Python","Creating user interfaces, Debugging",Yes,,Don’t know/No opinion
316,R_4gLLH3NE18lcyC1,Australia,Oceania,GitHub Copilot,Python,"Test case generation, Writing source code, Prototyping/mocking",Yes,Noting the usage of a code generation tool,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
317,R_5fkelYStfu58yYr,China,Asia,ChatGPT-3.5,"Golang, Java",Writing source code,Yes,,Belongs to no one (i.e. is in the public domain)
319,R_4j2IKrSJemdDW2J,Thailand,Asia,ChatGPT-4,"JavaScript, Python, R","Code documentation, Writing source code, Prototyping/mocking",Yes,"Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool",Belongs to no one (i.e. is in the public domain)
321,R_3a9yEEqyQopL3P4,"Zimbabwe, South Africa",Africa,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","JavaScript, PHP, Python","Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
322,R_4okeC7EsvUgHe6I,South Korea,Asia,,"C / C++, Java",,Yes,,Belongs to no one (i.e. is in the public domain)
323,R_6nZnVTRlEgWenRQ,Iran,Asia,"ChatGPT-3.5, GitHub Copilot","Golang, Java, JavaScript, Python, TypeScript","Test case generation, Code documentation, Writing source code, Refactoring",Yes,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
324,R_4hX4XW0vaMJxMaG,United States,North America,,Python,,No,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
325,R_2JrZeJdtCShoQ8p,Germany,Europe,ChatGPT-4,Python,"Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
326,R_4KMCPi0DpK3BHjP,China,Asia,"ChatGPT-3.5, GitHub Copilot","C / C++, Java, Python","Test case generation, Writing source code",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
327,R_6bivWRmw5y7T9DP,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Golang, JavaScript, Python","Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,Noting the usage of a code generation tool,Belongs to no one (i.e. is in the public domain)
328,R_7TZ5bISWdWGmTMu,Spain,Europe,"GitHub Copilot, Amazon CodeWhisperer","JavaScript, Python","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards)",I don't know,,Belongs to the creators whose works were used as training data for the output
329,R_4lxhDEyWDnaX4A9,United States,North America,"ChatGPT-4, GitHub Copilot","Golang, Java, Python","Test case generation, Writing source code, Prototyping/mocking",I don't know,,Don’t know/No opinion
330,R_48zHvO8UNsutm0v,India,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Creating user interfaces, Refactoring",Yes,,Belongs to the creators whose works were used as training data for the output
332,R_749Ch5t1gF9Newx,"Global, United States, United Kingdom","North America, Europe, Global","ChatGPT-3.5, Claude (Anthropic) (any version), DeepSeek Coder","Golang, Python","Refactoring, Reference / Learning, Test case generation","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
333,R_5FzdGgrdne5MX17,France,Europe,ChatGPT-4,Python,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
334,R_4CZIcynqjH9jC2l,India,Asia,"Bard, ChatGPT-3.5, Perplexity AI","C#, JavaScript","Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
335,R_5Cw3oXJBy3D4pNm,Greece,Europe,"Bard, ChatGPT-4, Claude (Anthropic) (any version)","C / C++, JavaScript, PHP, Python","Writing source code, Creating user interfaces, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
336,R_6yf4IuzSoVfOPuO,United Kingdom,Europe,,"C / C++, C#, JavaScript, PHP, Python",,I don't know,,"Belongs to the creators whose works were used as training data for the output, Don’t know/No opinion"
337,R_3dTvacvRie9hX03,Italy,Europe,GitHub Copilot,"C#, Java, Python","Error Summarization / Explanation, Writing source code",I don't know,,Belongs to no one (i.e. is in the public domain)
338,R_3v80mLAbEkZSL2h,Sweden,Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot",Python,"Writing source code, Prototyping/mocking",Yes,,Belongs to no one (i.e. is in the public domain)
339,R_2rkpjE6VGZYUUMK,Italy,Europe,,"Clojure, Golang, JavaScript",,Personal choice,,Belongs to no one (i.e. is in the public domain)
340,R_8OUy9zB1lOJv4R2,United Kingdom,Europe,"ChatGPT-3.5, GitHub Copilot","JavaScript, Python","Writing source code, Prototyping/mocking",Yes,,Belongs to no one (i.e. is in the public domain)
341,R_1ktfaly4gX11ILa,United States,North America,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer",Golang,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
342,R_6Je0OdMeK7Dq0QK,Morocco,Africa,"Bard, ChatGPT-3.5, Codeium, GitHub Copilot","C / C++, JavaScript","Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards)",I don't know,,Belongs to the creators whose works were used as training data for the output
343,R_5xv12c49eCsZJjr,"United States, United Kingdom","North America, Europe","ChatGPT-4, GitHub Copilot, Tabnine","Golang, Python, Rust","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
345,R_6fIyISHeg1c9Cok,Israel,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, Python","Code documentation, Code styling and formatting (to meet employer or community standards), Creating user interfaces, Prototyping/mocking, Refactoring, Test case generation, Writing source code","Depends on client, Freelancer / self-employed",,Don’t know/No opinion
346,R_5dReYL0dERfYDut,Brazil,South America,,"JavaScript, Python",,,,
347,R_4w2tbmzim90BGYp,France,Europe,"ChatGPT-3.5, GitHub Copilot",Python,"Test case generation, Code documentation, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
348,R_7EKEci1xZPAaOTn,United States,North America,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, PHP, Python","Writing source code, Prototyping/mocking",Yes,,Belongs to the developer who prompted the model (or their employer)
350,R_3kdl1bJOHvTLSZb,United States,North America,GitHub Copilot,JavaScript,"Test case generation, Writing source code, Prototyping/mocking",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
352,R_6sho1j26EbolGwl,Canada,North America,"Bard Duet, ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C / C++, JavaScript, Python, R","Test case generation, Code documentation, Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
353,R_4ZblWvpS4ed90bf,South Korea,Asia,"ChatGPT-4, GitHub Copilot","C / C++, Python",Writing source code,Yes,,Belongs to no one (i.e. is in the public domain)
354,R_64Gcw0wH8nzsSH5,Azerbaijan,Asia,"ChatGPT-4, GitHub Copilot","C / C++, C#, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
355,R_1PidrV0HfYpzUOZ,United States,North America,"ChatGPT-3.5, GitHub Copilot","JavaScript, Python","Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards)",Yes,,Belongs to no one (i.e. is in the public domain)
356,R_4RPoAgUYQI5Phpx,United States,North America,,"Python, R",,,,
361,R_7ce3tD77jUmlayB,United States,North America,"ChatGPT-3.5, ChatGPT-4, Perplexity AI","JavaScript, Python","Writing source code, Prototyping/mocking, Creating user interfaces",Yes,,Belongs to the developer who prompted the model (or their employer)
362,R_41LyqzyPGvtXgHX,China,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, Python","Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards)",Yes,,Belongs to the creators whose works were used as training data for the output
363,R_6qwcv5uM7LJNUs4,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Golang, JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking",Not applicable,,Belongs to no one (i.e. is in the public domain)
364,R_1dNfQ69fPb2tJPG,Canada,North America,"ChatGPT-3.5, GitHub Copilot","C / C++, C#","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,"Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
365,R_62A7f4BTGk9kEYz,United States,North America,"BingChat, ChatGPT-3.5","C / C++, Python","Code documentation, Writing source code, Prototyping/mocking, Refactoring",I don't know,,Belongs to the creators whose works were used as training data for the output
